Tags,Package,Name,Verdict,Useful?/Replayable?,Best?,REPL-less?,GUI?,Windowed?,Starts fast?,Runs fast?,Install Cost,Home Cost,Rank,Notes
,geant321-doc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,geant4,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,genesis,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,geogebra-kde,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,geonetwork,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,giella-sme,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,googleearth-package,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gosmore,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gpapers,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gpiv,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gpivtools,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gpx2shp,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,gromacs-mpich,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,hart,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,hdfview,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,herwig++,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,hid,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,hyantesite,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,ifrit,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,invt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,iqr,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,isabelle,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,itksnap,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,jfreemesh,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,julia,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,kino,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,kuipc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,kxterm,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,lhapdf-pdfsets-minimal,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libcv-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libdrawtk-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libegad,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libgismo-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libgrits-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libgsl0ldbl,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libgtkmathview-bin,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libint,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libkim-api-v2-models,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,liblevmar-2-6,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,liblimereg-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libmcpanel-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libqglviewer-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libqglviewer2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libqtexengine-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-bindings-python5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-bindings-ruby5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-core5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-geom5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf2d-gpad5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf2d-graf5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf2d-postscript5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf3d-eve5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf3d-g3d5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-graf3d-gl5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-gui-ged5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-gui5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-hist-spectrum5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-hist5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-html5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-io-xmlparser5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-io5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-foam5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-genvector5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-mathcore5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-mathmore5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-matrix5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-minuit5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-mlp-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-mlp5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-physics5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-quadp5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-smatrix5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-splot5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-math-unuran5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-misc-memstat5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-misc-minicern5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-misc-table5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-montecarlo-eg5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-montecarlo-vmc-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-montecarlo-vmc5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-net-auth5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-net-bonjour5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-net-ldap5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-net5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-proof-proofplayer5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-proof5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-roofit5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-tmva-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-tmva5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-tree-treeplayer5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libroot-tree5.34,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libschroedinger-coordgenlibs-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libticcutils2-dev,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,libvisad-java,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,lightspeed,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,limereg,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,linux-image-2.6-rt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,lipsia,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,lix,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,logcentral,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,logcentral-tools,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,looptools,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,luasseq,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mace2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,matita,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mbdyn,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mclust,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,meabench,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,minsky,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mmass,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mmass-modules,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mni-autoreg,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mni-n3,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,model-builder,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,molden,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,molekel,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,moose,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,mx-dataacquisition,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,neo,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,nest,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,netlogo,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,neurodata,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,nspike,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,nypatchy,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,octave-lhapdf,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,octave-octcdf,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,octaviz,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,octopus,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openchrom,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,opendap,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openelectrophy,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openhrp,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openmeca,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openmeeg-tools,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openmx,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openrave,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,openrtm,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,orocos-ocl,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,orocos-rtt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,ovito,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,patchclamp,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,paw++,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,paw,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,paw-demos,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pawserv,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pcsim,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pegasus-wms,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pgadmin3,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pgfplots,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pksfc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,plot-digitizer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,plotdrop,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,prover9,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,psychopy,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pybliographer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pycgns,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pymarc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pymeg,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pyomo,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pysolfc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pysurfer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,pythia8-root-interface,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python-mvpa2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-opentsne,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-pandasdmx,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-pytango,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-quantecon,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-sardana,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-spaghetti,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-timbl,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,python3-woo,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,qlandkartegt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,qrtailab,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,qtads,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,qtdmm,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,qtiplot,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,quaneko,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-cairodevice,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-ecdat,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-fasianoptions,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-fcalendar,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-fecofin,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-fexoticoptions,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-foptions,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-hdf5,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-its,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-pdfetch,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-rggobi,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-rgtk2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-rpvm,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-rsprng,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-cran-vars,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-other-bmr,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,r-other-gecon,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,recs,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,referencer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,relacs,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,repast-hpc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,repast-symphony,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rivet,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rivet-plugins,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rivet-root-converter,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rlplot,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,roboop,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,robot-player,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-macro-fastjet,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-geom-gdml,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-geom-geombuilder,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-geom-geompainter,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-graf2d-asimage,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-graf2d-qt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-graf2d-x11,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-graf3d-x3d,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-gui-fitpanel,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-gui-guibuilder,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-gui-qt,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-gui-sessionviewer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-hist-hbook,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-hist-histpainter,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-hist-spectrumpainter,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-io-sql,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-io-xml,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-math-fftw3,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-math-fumili,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-math-minuit2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-montecarlo-pythia8,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-net-globus,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-net-krb5,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-sql-mysql,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-sql-odbc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-sql-pgsql,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-plugin-tree-treeviewer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system-bin,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system-common,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system-doc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system-proofd,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,root-system-rootd,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rstudio,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rtnet,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,rtxi,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-geom,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-gui,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-jobmanager,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-kernel,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-med,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-paravis,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-smesh,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,salome-yacs,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,scidavis,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,science-social,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,scilab-ann,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,sequitur-g2p,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,sfc,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,slicer,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,snappea,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,solid,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spacy,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spike,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spis,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spm8,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spout,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,spykeview,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,termtris,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,tessa,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,tessa-mpi,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,texlive-math-extra,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,texmacs,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,thepeg,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,thepeg-gui,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,tinker,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,tochnog,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,transfig,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,travatar,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,trellis-neuro,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,varkon,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,viewmol,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,visionegg,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,visit,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,voxbo,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,wannier90-1,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,wannier90-2,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,why,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,wnsqlbuilder,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xenomai-runtime,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xjig,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xmds,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xmille,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xnat,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xtide,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,xul-ext-zotero,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,zftp,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,zotero-standalone,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
,zsnes,,FAIL,,,,,,,,,,,"State: not a real package (virtual)"
